 , , ,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,
 , , ,mean,variance,skewness,kurtosis,median,minimum,10th percentile,90th percentile,maximum,Interquartile range,mode,range,Mean absolute deviation,Robust mean absolute deviation,Median absolut deviation,Coefficient of variation,Quartile coefficient,Entropy,Uniformity,Maximum histogram gradient,Maximum histogram gradient grey level,Minimum histogram gradient,Minimum histogram gradient grey level,
ICC_01_001,ICC_01_001_CT,Portal_Ax,17.9034,25.4763,-0.202175,-0.0068774,18,1,11.5556,23.8889,32,7,18.8889,31,4.0606,3.04156,4.03911,0.283457,0.200291,4.28935,0.0590573,77.5,13.4444,-66.5,22.8889,
ICC_01_002,ICC_01_002_CT,Portal_Ax,13.0967,44.5433,0.629464,-0.181443,11.8571,1,5.71429,22.5714,32,9.42857,9.28571,31,5.46317,4.10091,5.33313,0.508311,0.369673,4.52398,0.0522646,18.7143,6.14286,-18.8571,10.7143,
ICC_01_005,ICC_01_005_CT,Portal_Ax,13.9672,36.7672,0.576694,-0.258407,12.625,1,7.125,23,32,8.375,10.625,31,4.91563,3.68612,4.78129,0.430895,0.304117,4.44898,0.055017,45,6.75,-34.625,13.75,
100,CT,ap,16.1818,26.8179,-0.0932515,0.434975,16.7143,1,9,22.1429,32,6.57143,16.7143,31,3.99486,2.86314,3.93962,0.314359,0.203398,4.27584,0.0630795,22.0714,14.1429,-23.5714,19.8571,
100,CT,pvp,17.9285,27.3409,-0.261293,0.300964,18.125,1,11.125,24.125,32,6.875,18.875,31,4.11789,2.98759,4.08818,0.297029,0.194099,4.33494,0.0585017,18.5,14.25,-17.3125,21.75,
101,CT,ap,17.9261,20.9042,-0.407115,0.284102,18.3478,1,11.6522,23.2174,32,5.78261,18.5217,31,3.57353,2.59865,3.53826,0.254773,0.160375,4.14551,0.0683301,82.4565,15.3913,-96.6522,22.5652,
101,CT,pvp,18.5684,20.8746,-0.606118,1.02791,19.0455,1,12.4091,23.6364,32,4.86364,19.4545,31,3.42958,2.31701,3.36889,0.246598,0.130356,4.07848,0.0742733,102.432,16.3182,-103.659,22.3636,
108,CT,ap,19.7538,19.821,-0.639093,1.60883,20.1,1,14.1,24.8,32,5.5,20.4,31,3.37846,2.45668,3.34704,0.232159,0.146871,4.05123,0.0743567,48.8,17.2,-48.55,24.2,
108,CT,pvp,19.3498,18.1507,-0.410211,1.1293,19.5,1,14.1,24.6,32,5.5,19.4,31,3.26423,2.38122,3.24622,0.221392,0.145588,4.03279,0.0744315,46.25,17.1,-47.7,22.8,
120,CT,ap,20.4936,26.517,-0.966214,1.30467,21.375,1,13.375,26.125,32,6.125,22.875,31,3.92542,2.82526,3.83983,0.248274,0.147423,4.18473,0.0697081,60.0625,20.125,-58.8125,25.625,
120,CT,pvp,23.8546,22.3744,-1.61293,3.58694,24.875,1,17.5,28.375,32,4.875,26.375,31,3.44669,2.27547,3.28089,0.198092,0.102748,3.90823,0.0893861,90.4375,23.875,-116.063,28.25,
121,CT,ap,19.7031,26.7391,-0.434897,0.631287,20.125,1,13,25.875,32,6.625,20.75,31,4.0308,2.93207,4.00861,0.263698,0.168442,4.31308,0.0603955,13.1875,16.5,-13,23.75,
121,CT,pvp,19.9195,27.6157,-0.557718,0.766505,20.2222,1,13.1111,26.2222,32,6.66667,20.6667,31,4.09531,2.98678,4.07676,0.266006,0.168892,4.30161,0.0613721,12.8333,17.3333,-14.3889,24.6667,
