 , , ,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM
 , , ,mean,variance,skewness,kurtosis,median,minimum,10th percentile,90th percentile,maximum,Interquartile range,range,Mean absolute deviation,Robust mean absolute deviation,Median absolut deviation,Coefficient of variation,Quartile coefficient,Energy,Root mean square,mean,variance,skewness,kurtosis,median,minimum,10th percentile,90th percentile,maximum,Interquartile range,mode,range,Mean absolute deviation,Robust mean absolute deviation,Median absolut deviation,Coefficient of variation,Quartile coefficient,Entropy,Uniformity,Maximum histogram gradient,Maximum histogram gradient grey level,Minimum histogram gradient,Minimum histogram gradient grey level,joint maximum,joint average,joint variance,joint entropy,difference average,difference variance,difference entropy,sum average,sum variance,sum entropy,angular second moment,contrast,dissimilarity,inverse difference,inverse difference normalised,inverse difference moment,inverse difference moment normalised,inverse variance,correlation,autocorrelation,cluster tendency,cluster shade,cluster prominence
ICC_01_001,ICC_01_001_CT,Portal_Ax,64.2205,3163.48,-0.75678,1.59947,70.5,-123,32773,117.5,215,52,338,37.0176,#NAME?,36.1191,1.01576,0.40368,1.20E+07,87.7467,17.5224,27.7994,-0.743754,1.55536,18,1,11.5,23.5,32,6,16,31,3.99428,2.73931,3.92499,0.303096,0.174825,4.20868,0.071029,37.5,11.5,-43,19.5,0.0111693,10.3667,19.3663,4.96977,1.86116,3.66817,1.88057,20.7334,67.8163,3.29483,0.00453835,9.64895,1.86116,0.241519,0.574662,0.189925,0.616039,0.188393,0.475916,187.311,67.8163,-11.7691,20296.1
ICC_01_002,ICC_01_002_CT,Portal_Ax,65.4355,343.794,0.569141,-0.499152,63,34,45,94,109,27,75,15.4875,11.368,15.1129,0.283358,0.206107,286787,68.0117,13.9516,62.3686,0.569792,-0.561026,13,1,5,26,32,12,9,31,6.62123,4.95562,6.46774,0.566055,0.428571,4.30721,0.066077,4.5,8,-3.5,10,0.0448347,12.7381,54.7726,6.16585,5.42344,22.4155,3.56652,25.4763,166.624,4.68678,0.0159452,52.4665,5.42344,0.291666,0.867635,0.205927,0.956394,0.191704,0.517747,190.845,166.624,1308.6,71203.9
ICC_01_005,ICC_01_005_CT,Portal_Ax,3.3945,11427.7,-0.30754,-0.754008,37,-204,32636,94.5,127,-32631,331,75.6358,#NAME?,71.0652,-0.94011,-0.33493,1.05E+07,120.043,18.35,67.2047,-0.309801,-0.769625,20,1,6.5,28,32,13,18,31,7.03097,5.64497,6.74242,0.455752,0.375301,4.66383,0.0487101,19.5,17,-13.5,26.5,0.0158185,9.84221,36.5634,4.85427,1.71853,3.90843,1.80512,19.6844,137.054,3.48368,0.00457986,9.19925,1.71853,0.266025,0.578637,0.218992,0.616574,0.193098,0.540848,192.22,137.054,-153.029,67579.2
100,CT,ap,121.605,756.346,-0.692936,0.579169,125,40,83,154,179,28,139,20.537,12.8334,20.3317,0.226157,0.112,3.19E+06,124.676,19.2683,40.8109,-0.689155,0.570547,20,1,10,27,32,6,21,31,4.78,3.09526,4.71219,0.331547,0.15,4.49816,0.0552766,5,17,-6,25,0.022245,19.1376,43.6318,7.45873,3.37436,6.74597,3.16988,38.2751,156.213,5.26593,0.00706103,18.3137,3.37436,0.345136,0.909324,0.252294,0.983043,0.251221,0.790584,400.724,156.213,-1330.81,81605.9
100,CT,pvp,156.388,691.577,-0.899363,0.646936,160,74,119,186,204,33,130,20.5746,14.3199,20.3301,0.168158,0.103448,5.26E+06,158.583,20.8038,41.9663,-0.880499,0.618052,22,1,12,28,32,9,26,31,5.08276,3.59627,5.02392,0.311392,0.209302,4.51866,0.0517158,4,24,-5.5,27,0.0187251,20.3726,40.4657,7.55221,3.70937,9.15379,3.30775,40.7453,138.814,5.27203,0.00642834,23.0485,3.70937,0.329899,0.90209,0.236561,0.979188,0.240661,0.715398,444.001,138.814,-1314.91,65607.6
101,CT,ap,52.4364,497.055,-0.52877,-0.126624,57.5,-1.5,32782,77.5,99,29,100.5,17.5813,#NAME?,16.8435,0.608911,0.36809,808691,58.7385,17.7091,50.4311,-0.532436,-0.140781,19,1,5.5,25.5,32,9.5,19,31,5.57842,4.20597,5.33197,0.392374,0.259146,4.27315,0.0610022,4.25,15,-4.25,20,0.0111851,10.5586,24.3589,4.63091,2.65083,6.01879,2.14493,21.1172,80.0081,3.19576,0.00472385,17.4274,2.65083,0.186982,0.555799,0.126813,0.609144,0.125261,0.376268,195.094,80.0081,-568.683,36219.7
101,CT,pvp,98.3041,766.296,-0.138734,0.135996,99,27,60,134.5,161,32.5,134,21.0972,15.0622,20.9583,0.308524,0.182767,956106,102.703,17.256,40.9377,-0.102041,0.0522972,17.5,1,8,26,32,8,21.5,31,4.96604,3.82572,4.92587,0.369947,0.228288,4.35102,0.0595759,2.25,13,-4,22.5,0.0211835,10.1612,19.8969,4.14141,2.70246,8.15597,2.12019,20.3224,59.083,2.94808,0.00751696,20.5047,2.70246,0.192832,0.555859,0.135465,0.607126,0.143564,0.263184,176.118,59.083,-128.315,20750.8
108,CT,ap,70.2327,912.141,-0.765584,0.0515916,77,-20,21,103,128,36,148,23.8477,17.1141,23.2201,0.430023,0.243243,929319,76.4511,19.9686,42.4456,-0.735208,-0.019747,21,1,9,27,32,8,23,31,5.12171,3.81761,5.00629,0.326264,0.190476,4.43146,0.0555753,3,19,-4.5,29,0.0204132,20.5724,36.879,7.19927,3.62359,7.4183,3.22852,41.1448,126.869,5.0674,0.00811568,20.6471,3.62359,0.327605,0.903297,0.230429,0.980964,0.219629,0.719378,449.785,126.869,-1179.24,50233.7
108,CT,pvp,103.935,1088.2,-0.47578,-0.669413,114.5,36,53.5,139.5,153,35,117,27.0141,23.782,25.5093,0.324443,0.153108,806891,109.196,19.4722,97.2832,-0.466139,-0.709482,23.5,1,4.5,29,32,9.5,9.5,31,7.84696,7.23446,7.39815,0.479963,0.220707,3.28173,0.149777,1.75,20,-2.5,21,0.0772812,12.9338,22.1424,3.6327,2.62052,7.10929,1.74523,25.8675,70.1125,2.55764,0.0669257,18.4572,2.62052,0.182368,0.557023,0.117797,0.608846,0.121634,0.176013,295.596,70.1125,40.6525,23200.7
