 , , ,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Statistics,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,
 , , ,mean,variance,skewness,kurtosis,median,minimum,10th percentile,90th percentile,maximum,Interquartile range,range,Mean absolute deviation,Robust mean absolute deviation,Median absolut deviation,Coefficient of variation,Quartile coefficient,Energy,Root mean square,mean,variance,skewness,kurtosis,median,minimum,10th percentile,90th percentile,maximum,Interquartile range,mode,range,Mean absolute deviation,Robust mean absolute deviation,Median absolut deviation,Coefficient of variation,Quartile coefficient,Entropy,Uniformity,Maximum histogram gradient,Maximum histogram gradient grey level,Minimum histogram gradient,Minimum histogram gradient grey level,joint maximum,joint average,joint variance,joint entropy,difference average,difference variance,difference entropy,sum average,sum variance,sum entropy,angular second moment,contrast,dissimilarity,inverse difference,inverse difference normalised,inverse difference moment,inverse difference moment normalised,inverse variance,correlation,autocorrelation,cluster tendency,cluster shade,cluster prominence,first measure of information correlation,second measure of information correlation,SRE,LRE,LGRE,HGRE,SRLE,SRHE,LRLE,LRHE,GNU,GNUN,RLNU,RLNUN,RP,GLV,RLV,RE,
ICC_01_001,ICC_01_001_CT,Portal_Ax,77.1435,1488.83,-0.110818,-0.42479,78.3333,-33.3333,26.8889,125.667,171.222,57,204.556,31.2083,23.2862,31.1203,0.508413,0.377497,1.45217e+07,86.5618,17.6147,35.0691,-0.107422,-0.431128,17.7778,1,9.77778,25.1111,32,8.88889,17.7778,31,4.86285,3.76908,4.84441,0.335121,0.251887,4.52183,0.0491817,26.6111,12.2222,-24.8889,24.3333,0.0123268,17.6621,33.5116,8.04268,2.72119,4.78579,2.94192,35.3242,121.687,5.37864,0.00498787,12.3591,2.72119,0.389445,0.925183,0.303448,0.988412,0.309791,0.806594,342.173,121.687,-207.111,37643,-0.209189,0.910929,0.910528,1.43745,0.00847774,347.19,0.00793509,315.409,0.0110353,504.627,82.0554,0.0484792,1330.87,0.791962,0.882992,35.7105,0.152848,5.0887,
ICC_01_002,ICC_01_002_CT,Portal_Ax,67.9755,778.739,0.607934,-0.352396,63,20.5714,37.1429,108.571,140.857,40.4286,120.286,22.6991,17.074,22.2263,0.404605,0.300456,1.69866e+06,73.3959,13.112,53.2732,0.608338,-0.364715,11.8571,1,4.85714,24,32,10.8571,9.14286,31,6.01987,4.59144,5.88666,0.560365,0.427624,4.55754,0.051167,7.64286,4.71429,-7.64286,11.7143,0.0228488,12.2956,47.1701,7.55414,3.7704,10.3364,3.29849,24.5913,163.368,5.24289,0.00741103,25.3121,3.7704,0.335967,0.901515,0.245856,0.977561,0.251798,0.728012,187.851,163.368,1466.05,75100.2,-0.313698,0.959922,0.934596,1.31022,0.0344275,232.414,0.0326119,220.878,0.0429672,283.871,13.4729,0.049419,237.593,0.843464,0.913212,54.2261,0.10929,4.92212,
ICC_01_005,ICC_01_005_CT,Portal_Ax,55.0393,770.038,0.588371,-0.368388,48.875,3.25,24.5,97.625,128.25,38.75,125,22.5946,16.4921,21.8358,0.508855,0.361709,3.02984e+06,61.6771,13.8331,49.656,0.586523,-0.374604,12.375,1,5.875,24.625,32,9.75,9.625,31,5.76118,4.34507,5.57731,0.515635,0.369077,4.61273,0.0491759,19.875,6.375,-19.9375,12.875,0.0180723,13.3393,45.4902,7.98066,2.93117,5.87414,3.0445,26.6786,167.325,5.43043,0.00577042,14.6352,2.93117,0.377665,0.920295,0.290741,0.986417,0.297612,0.832443,218.375,167.325,1446.68,76901.2,-0.248073,0.938754,0.917115,1.40818,0.0214621,248.952,0.0198309,232.47,0.0300564,326.929,38.147,0.0473695,617.138,0.805418,0.890436,50.2633,0.145615,5.12726,
100,CT,ap,124.446,584.176,-0.2437,0.0625799,127.429,58.8571,90.8571,151.857,184,29.7143,125.143,18.4737,12.8463,18.1729,0.189692,0.119062,5.63997e+06,126.803,17.0114,35.6658,-0.241272,0.0378232,17.7143,1,8.57143,24,32,7.57143,17.7143,31,4.7114,3.38814,4.64062,0.351447,0.223297,4.46698,0.0542386,7.42857,13.7143,-7.21429,21.4286,0.018957,16.8062,35.7204,7.73819,3.48851,7.8476,3.23434,33.6125,122.44,5.25339,0.00609491,20.4413,3.48851,0.344321,0.907174,0.252955,0.981315,0.254211,0.703751,310.679,122.44,-490.938,45262.8,-0.265601,0.945225,0.92995,1.33205,0.0136195,328.68,0.0127118,305.911,0.0175223,435.933,16.9168,0.053096,263.624,0.83278,0.907507,36.1506,0.116196,4.87008,
100,CT,pvp,154.496,531.919,-0.242742,-0.0419233,156.25,91,124.5,182.25,208.25,30.25,117.25,18.0663,12.9403,17.9358,0.14717,0.0982802,8.62762e+06,156.235,17.7755,37.7254,-0.241059,-0.0688978,18.25,1,9.625,25.25,32,8.25,19,31,4.93731,3.63048,4.90105,0.34846,0.231704,4.52536,0.0508587,7.4375,15.375,-7.375,20.25,0.0152311,17.5051,36.2695,7.85553,3.90767,9.50882,3.35697,35.0101,119.526,5.28431,0.0053796,25.5516,3.90768,0.321431,0.89767,0.227927,0.977048,0.230633,0.647021,334.07,119.526,-353.731,42478.8,-0.256557,0.942065,0.937841,1.28183,0.0133612,358.505,0.0127462,337.065,0.0160322,455.782,16.4219,0.0502804,277.762,0.850202,0.918995,38.3011,0.0955319,4.88421,
101,CT,ap,88.8188,522.801,-0.422036,0.0386584,91.2609,21.4348,56.6522,115.391,149.696,29.1739,128.261,17.8962,12.5042,17.7278,0.25556,0.162906,1.31314e+07,91.729,17.2876,31.8974,-0.419131,0.0293281,17.8261,1,9.30435,24,32,7.3913,18.8696,31,4.4778,3.24624,4.43215,0.326899,0.211813,4.4446,0.0544025,25.9783,14.3478,-28.1522,22.3478,0.0139698,17.4077,30.8033,8.07092,3.19738,6.55947,3.13452,34.8153,105.978,5.27787,0.00511934,17.2353,3.19738,0.360346,0.913931,0.270782,0.984102,0.275105,0.718863,326.365,105.978,-553.054,34675,-0.175347,0.871872,0.922021,1.37603,0.0113627,331.475,0.0107334,305.305,0.0143736,457.505,74.5121,0.0535243,1117.47,0.816248,0.897449,32.4071,0.131418,4.9472,
101,CT,pvp,118.413,622.305,-0.530292,0.590863,121.091,42.9545,83.3182,146.318,186.818,27.5455,143.864,18.6567,12.1652,18.3372,0.208437,0.114462,2.34638e+07,121.033,17.2552,29.7581,-0.524356,0.568165,17.7273,1,9.5,23.4545,32,6.13636,17.9545,31,4.16567,2.85185,4.09405,0.316209,0.175009,4.32205,0.0621821,35.5455,15.0909,-36.5227,21.5,0.0183841,17.3206,28.3477,7.84521,3.09863,6.56544,3.09821,34.6413,96.7525,5.12366,0.00647632,16.6384,3.09863,0.369144,0.916487,0.281332,0.984723,0.286203,0.698323,320.958,96.7525,-662.783,36403.8,-0.172529,0.865612,0.918277,1.39681,0.012765,328.568,0.0118934,301.539,0.0170107,459.182,87.5204,0.0608161,1133.63,0.808411,0.892816,30.2071,0.138896,4.84997,
108,CT,ap,86.3016,415.551,-0.348761,0.218743,88.1,23.4,59.3,110.4,137.7,25.8,114.3,15.8494,11.208,15.7478,0.237612,0.150145,6.00625e+06,88.7641,17.8993,31.8373,-0.340013,0.181155,18.4,1,10.5,24.8,32,7.3,19,31,4.46101,3.25687,4.43389,0.316388,0.204187,4.42389,0.0552253,13.45,15.4,-13.6,21.9,0.0151909,18.0925,29.5638,8.03746,3.97666,10.2677,3.43113,36.1851,91.9073,5.15424,0.00507536,26.3479,3.97666,0.317919,0.89609,0.224291,0.976362,0.227275,0.544082,346.296,91.9073,-287.455,26230.3,-0.163995,0.84249,0.938488,1.28161,0.0111133,353.439,0.0105329,331.001,0.0135665,456.423,38.5785,0.0540807,600.294,0.851137,0.919065,32.5604,0.0967818,4.82647,
108,CT,pvp,148.654,576.783,-0.219027,0.217962,149.6,77.1,117.9,178,214,31,136.9,18.7412,13.105,18.6938,0.162941,0.106092,1.74135e+07,150.636,17.0343,31.4845,-0.214121,0.192528,17.3,1,9.9,24,32,7.1,16.9,31,4.41817,3.2207,4.40139,0.331041,0.210182,4.43412,0.0550661,14.2,13.7,-14.65,20.6,0.0152768,17.2049,29.495,8.00258,4.05416,10.6741,3.44099,34.4099,90.4435,5.15411,0.00519662,27.5365,4.05416,0.314226,0.894463,0.221055,0.975408,0.229855,0.533898,314.102,90.4435,-102.875,25829.8,-0.178233,0.854268,0.942381,1.26872,0.0119021,322.313,0.0114671,302.733,0.0138017,415.059,37.7327,0.0541135,587.813,0.860048,0.923334,32.0334,0.0946098,4.8058,
