 , , ,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLCM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,GLRLM,
 , , ,mean,variance,skewness,kurtosis,median,minimum,10th percentile,90th percentile,maximum,Interquartile range,mode,range,Mean absolute deviation,Robust mean absolute deviation,Median absolut deviation,Coefficient of variation,Quartile coefficient,Entropy,Uniformity,Maximum histogram gradient,Maximum histogram gradient grey level,Minimum histogram gradient,Minimum histogram gradient grey level,joint maximum,joint average,joint variance,joint entropy,difference average,difference variance,difference entropy,sum average,sum variance,sum entropy,angular second moment,contrast,dissimilarity,inverse difference,inverse difference normalised,inverse difference moment,inverse difference moment normalised,inverse variance,correlation,autocorrelation,cluster tendency,cluster shade,cluster prominence,first measure of information correlation,second measure of information correlation,SRE,LRE,LGRE,HGRE,SRLE,SRHE,LRLE,LRHE,GNU,GNUN,RLNU,RLNUN,RP,GLV,RLV,RE,
100,CT,ap,17.0114,35.6658,-0.241272,0.0378232,17.7143,1,8.57143,24,32,7.57143,17.7143,31,4.7114,3.38814,4.64062,0.351447,0.223297,4.46698,0.0542386,7.42857,13.7143,-7.21429,21.4286,0.018957,16.8062,35.7204,7.73819,3.48851,7.8476,3.23434,33.6125,122.44,5.25339,0.00609491,20.4413,3.48851,0.344321,0.907174,0.252955,0.981315,0.254211,0.703751,310.679,122.44,-490.938,45262.8,-0.265601,0.945225,0.92995,1.33205,0.0136195,328.68,0.0127118,305.911,0.0175223,435.933,16.9168,0.053096,263.624,0.83278,0.907507,36.1506,0.116196,4.87008,
100,CT,pvp,17.7755,37.7254,-0.241059,-0.0688978,18.25,1,9.625,25.25,32,8.25,19,31,4.93731,3.63048,4.90105,0.34846,0.231704,4.52536,0.0508587,7.4375,15.375,-7.375,20.25,0.0152311,17.5051,36.2695,7.85553,3.90767,9.50882,3.35697,35.0101,119.526,5.28431,0.0053796,25.5516,3.90768,0.321431,0.89767,0.227927,0.977048,0.230633,0.647021,334.07,119.526,-353.731,42478.8,-0.256557,0.942065,0.937841,1.28183,0.0133612,358.505,0.0127462,337.065,0.0160322,455.782,16.4219,0.0502804,277.762,0.850202,0.918995,38.3011,0.0955319,4.88421,
101,CT,ap,17.2876,31.8974,-0.419131,0.0293281,17.8261,1,9.30435,24,32,7.3913,18.8696,31,4.4778,3.24624,4.43215,0.326899,0.211813,4.4446,0.0544025,25.9783,14.3478,-28.1522,22.3478,0.0139698,17.4077,30.8033,8.07092,3.19738,6.55947,3.13452,34.8153,105.978,5.27787,0.00511934,17.2353,3.19738,0.360346,0.913931,0.270782,0.984102,0.275105,0.718863,326.365,105.978,-553.054,34675,-0.175347,0.871872,0.922021,1.37603,0.0113627,331.475,0.0107334,305.305,0.0143736,457.505,74.5121,0.0535243,1117.47,0.816248,0.897449,32.4071,0.131418,4.9472,
101,CT,pvp,17.2552,29.7581,-0.524356,0.568165,17.7273,1,9.5,23.4545,32,6.13636,17.9545,31,4.16567,2.85185,4.09405,0.316209,0.175009,4.32205,0.0621821,35.5455,15.0909,-36.5227,21.5,0.0183841,17.3206,28.3477,7.84521,3.09863,6.56544,3.09821,34.6413,96.7525,5.12366,0.00647632,16.6384,3.09863,0.369144,0.916487,0.281332,0.984723,0.286203,0.698323,320.958,96.7525,-662.783,36403.8,-0.172529,0.865612,0.918277,1.39681,0.012765,328.568,0.0118934,301.539,0.0170107,459.182,87.5204,0.0608161,1133.63,0.808411,0.892816,30.2071,0.138896,4.84997,
102,CT,ap,16.6125,39.2479,-0.0543283,0.273707,17,1,8.33333,24.3333,32,6.66667,15.3333,31,4.7832,3.33365,4.76734,0.37978,0.203175,4.31104,0.0608424,2.5,12,-3.5,17.6667,0.02875,16.8585,38.3416,6.66,5.95489,21.5231,3.77574,33.717,95.2257,4.71429,0.0113643,58.1408,5.95489,0.252609,0.855134,0.160267,0.951568,0.153999,0.253202,295.701,95.2257,-95.9661,27543.1,-0.44193,0.986052,0.958533,1.1807,0.0309356,318.916,0.0307452,307.174,0.0317502,370.329,4.79836,0.0589981,73.045,0.897332,0.945749,40.8213,0.0606204,4.5042,
102,CT,pvp,16.6411,44.1624,-0.121906,-0.394298,17,1,7.33333,24.6667,32,9.33333,16.6667,31,5.39481,4.04992,5.37381,0.400779,0.275219,4.51257,0.0518863,3.16667,13,-3.33333,19,0.0203383,17.1688,41.0936,7.13232,5.74222,18.9256,3.76793,34.3375,111.934,4.98413,0.00800113,52.4401,5.74222,0.251837,0.858516,0.15858,0.955358,0.160345,0.364136,310.648,111.934,-177.959,33089.7,-0.407151,0.985987,0.961024,1.1633,0.0220941,320.358,0.0218448,306.385,0.0231271,378.728,5.48904,0.0510565,97.2785,0.902477,0.949675,44.4368,0.0534612,4.6969,
103,CT,ap,19.5818,56.2873,-0.525176,-0.459559,20.75,1,8.5,28.25,32,11.5,22.25,31,6.16114,4.72306,6.10089,0.380597,0.288577,4.54799,0.0488852,2,16.25,-1.875,15.25,0.0245176,20.6438,49.6426,6.73067,5.02762,17.5416,3.54494,41.2875,154.965,4.92643,0.0108099,43.6053,5.02762,0.285567,0.874589,0.193145,0.962802,0.191634,0.551638,454.549,154.965,-1006.39,63600.2,-0.488623,0.991589,0.951747,1.22241,0.0230954,433.94,0.022914,408.126,0.0238711,555.418,4.15205,0.0479221,75.7613,0.881968,0.935838,57.1729,0.0779637,4.75545,
103,CT,pvp,19.4654,56.2226,-0.593041,-0.396201,21.3333,1,8.33333,28,32,11,23.6667,31,6.16581,4.59409,5.96433,0.388146,0.279365,4.50945,0.0512354,2.5,20.6667,-2.83333,26,0.024952,20.0732,52.3558,6.73618,5.07391,15.8683,3.57312,40.1465,166.813,4.93334,0.0103902,42.6099,5.07391,0.284288,0.872915,0.194259,0.962986,0.194669,0.58648,434.667,166.813,-1156.02,68184.2,-0.496141,0.993536,0.949201,1.2202,0.0298769,431.358,0.0289224,404.624,0.0337278,548.251,4.01579,0.0504049,69.178,0.875281,0.934272,56.5063,0.0729387,4.70378,
104,CT,ap,17.6971,36.144,-0.323988,0.040183,18,1,9.77778,25.2222,32,7.77778,18.1111,31,4.76482,3.46893,4.73763,0.33808,0.219089,4.49265,0.0525474,7.16667,15,-5.88889,22.7778,0.0156806,18.001,33.8769,7.88068,4.9817,14.5213,3.6782,36.002,95.72,5.08849,0.00533162,39.7875,4.9817,0.274036,0.874047,0.180075,0.965139,0.190937,0.400727,338.876,95.72,-302.109,28426.9,-0.227538,0.916123,0.956544,1.19526,0.0158844,350.095,0.0154175,334.898,0.0178318,417.604,15.4007,0.0515636,266.645,0.892257,0.942263,36.9292,0.0677082,4.76697,
