 , , ,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,GLSZM,
 , , ,SZE,LZE,LGZE,HGZE,SZLGE,SZHGE,LZLGE,LZHGE,GNU],GNUN,ZSNU,ZSNUN,ZP,GLV,ZSV,ZSE,
100,CT,ap,0.769108,3.22337,0.0157211,307.769,0.0126115,239.113,0.0478241,959.408,11.9843,0.0505474,128.864,0.549874,0.67425,38.7167,1.01347,5.51375,
100,CT,pvp,0.78235,2.7384,0.0159352,329.271,0.0132798,258.472,0.0328425,865.523,12.1409,0.0484796,142.517,0.570818,0.70989,41.7235,0.731259,5.50864,
101,CT,ap,0.749601,3.7841,0.0130216,327.516,0.0109021,243.948,0.0364069,1255.83,50.5811,0.0509573,511.484,0.523332,0.647494,34.3631,1.32931,5.78685,
101,CT,pvp,0.741229,4.08898,0.0144126,319.297,0.0113487,235.067,0.048408,1317.57,56.0544,0.0568467,487.444,0.511958,0.633801,32.6476,1.51762,5.72393,
102,CT,ap,0.846318,1.88118,0.0422309,210.257,0.0408126,183.012,0.0492995,373.955,3.75221,0.0547163,46.017,0.673013,0.800842,58.2228,0.32093,4.81443,
102,CT,pvp,0.857073,1.78838,0.0295968,260.353,0.0281037,218.766,0.0380716,490.718,4.53956,0.0489275,64.5539,0.690935,0.815631,48.7856,0.283934,5.05852,
103,CT,ap,0.82208,2.24587,0.0317092,294.417,0.0301712,231.829,0.0394164,814.512,3.16686,0.0454414,43.4028,0.637529,0.767163,70.1799,0.515754,5.10575,
103,CT,pvp,0.816337,2.3114,0.0385597,284.472,0.0325707,221.252,0.0643658,793.625,3.04738,0.0482057,39.049,0.626642,0.747515,69.7395,0.508736,5.02289,
104,CT,ap,0.841133,2.10526,0.0178219,330.565,0.0156382,278.25,0.0284886,685.368,12.0547,0.0485942,162.976,0.663735,0.782004,40.309,0.46059,5.29859,
104,CT,pvp,0.847018,2.01863,0.0164667,323.861,0.015589,273.961,0.0223194,660.103,14.1163,0.0508482,186.186,0.673814,0.789575,37.8174,0.40915,5.24656,
105,CT,ap,0.860818,2.08412,0.0308423,296.371,0.0252363,244.806,0.0558009,734.364,4.01617,0.0493874,57.101,0.698948,0.79747,59.2951,0.495474,4.99317,
105,CT,pvp,0.834907,2.1952,0.0325203,238.224,0.0294642,191.77,0.0473162,587.179,4.20234,0.0530255,51.1026,0.658771,0.773132,57.7006,0.475916,4.93607,
106,CT,ap,0.891454,1.71389,0.0476184,161.925,0.0465341,145.597,0.0560764,253.164,2.31667,0.0575,30.7722,0.758673,0.841177,75.9019,0.290417,4.52972,
106,CT,pvp,0.898291,1.4862,0.0503272,165.288,0.0488529,152.032,0.0580464,226.013,2.85714,0.0571081,38.0438,0.772883,0.873882,57.824,0.156607,4.6078,
107,CT,ap,0.894222,1.67031,0.0344113,229.634,0.0326241,207.911,0.0432828,379.31,3.4799,0.0495191,53.5203,0.760398,0.852909,60.1147,0.282668,4.8672,
107,CT,pvp,0.837737,2.06153,0.0475349,229.451,0.0453577,182.848,0.0589899,519.648,2.76475,0.0480958,39.4053,0.661124,0.783197,75.7512,0.415812,4.90661,
108,CT,ap,0.790903,2.81643,0.0122951,339.287,0.0101463,265.047,0.0286188,984.043,27.9989,0.0506042,315.379,0.582032,0.707461,35.5983,0.811254,5.52923,
108,CT,pvp,0.804551,2.6704,0.0143687,304.248,0.0127386,240.451,0.0255599,858.882,27.8089,0.0514023,319.538,0.603328,0.724179,34.4014,0.750577,5.45953,
109,CT,ap,0.833647,2.25176,0.0353382,282.391,0.0344408,222.45,0.0408598,729.447,4.02069,0.052094,49.6117,0.660407,0.764039,74.535,0.507426,4.98121,
109,CT,pvp,0.832636,2.80274,0.0353291,223.209,0.0322039,179.246,0.0527111,704.571,4.08778,0.0573117,45.2083,0.653065,0.73861,90.7586,0.893398,4.90653,
110,CT,ap,0.854234,1.99519,0.0283028,288.658,0.0272667,241.103,0.034341,629.417,3.62283,0.0516642,48.4358,0.687578,0.796751,63.7365,0.408487,4.96746,
110,CT,pvp,0.850486,2.02118,0.0385203,283.396,0.0375526,235.4,0.0436816,672.315,3.33491,0.0491713,45.6289,0.679541,0.79491,62.6645,0.430598,4.95807,
111,CT,ap,0.87047,1.69363,0.0401191,244.239,0.0393931,203.654,0.0438048,453.757,3.82282,0.0506243,53.0342,0.720474,0.835833,72.7067,0.235593,4.94657,
111,CT,pvp,0.794947,2.94315,0.0274768,228.264,0.0259575,176.894,0.0386779,727.06,4.4119,0.0531699,48.8624,0.589496,0.70602,55.9546,0.873715,5.12509,
