 , , ,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,NGLDM,
 , , ,LDE,HDE,LGCE,HGCE,LDLE,LDHE,HDLE,HDHE,GNU,GNUN,DCNU,DCNUN,DCPercentage,GLV,DCV,DCEntropy,DCEnergy,
100,CT,ap,0.586058,3.78373,0.0153419,303.326,0.0094675,180.915,0.0578546,1131.65,19.0426,0.0542386,129.236,0.372236,1,35.6658,0.750249,5.78217,0.0221841,
100,CT,pvp,0.61869,3.34437,0.0143223,326.023,0.0100956,203.962,0.0379433,1064.02,18.1127,0.0508587,142.038,0.40643,1,37.7254,0.616297,5.7492,0.0226375,
101,CT,ap,0.557876,4.17263,0.0112809,329.185,0.00761477,181.823,0.0368264,1388.11,84.6597,0.0544025,533.739,0.35432,1,31.8974,0.830229,6.02244,0.0194515,
101,CT,pvp,0.544327,4.35308,0.0132634,318.592,0.00817857,171.437,0.0487739,1402.47,101.353,0.0621821,526.92,0.345949,1,29.7581,0.869018,5.91871,0.0216632,
102,CT,ap,0.722921,2.48519,0.0356371,204.46,0.0331996,154.603,0.0474262,477.62,5.22896,0.0608424,43.204,0.504395,1,39.2479,0.428742,4.91503,0.0373822,
102,CT,pvp,0.74095,2.37023,0.0260747,265.889,0.0233416,190.383,0.0395173,682.03,5.87181,0.0518863,59.8438,0.524611,1,44.1624,0.402633,5.19877,0.0312307,
103,CT,ap,0.684199,2.85218,0.0262263,314.019,0.0238455,196.961,0.0372035,1086.45,4.55575,0.0488852,42.9171,0.479197,1,56.2873,0.536077,5.26215,0.0294281,
103,CT,pvp,0.671088,2.81819,0.035346,306.337,0.0264767,187.55,0.0723194,1007.69,4.37673,0.0512354,38.2154,0.45759,1,56.2226,0.481772,5.21645,0.0304814,
104,CT,ap,0.708147,2.58067,0.0162687,331.016,0.0127775,235.192,0.0318815,845.498,16.6702,0.0525474,153.204,0.48791,1,36.144,0.43682,5.49477,0.0263371,
104,CT,pvp,0.716853,2.5542,0.0142748,324.012,0.0126439,231.725,0.0229736,827.8,19.3957,0.0548173,173.034,0.495185,1,32.6089,0.444658,5.44302,0.0275073,
105,CT,ap,0.732153,2.60834,0.0312709,313.221,0.0215866,211.592,0.072105,970.211,5.5361,0.0536321,52.5033,0.513857,1,50.6859,0.504554,5.1468,0.0325397,
105,CT,pvp,0.699467,2.74549,0.0291339,247.629,0.024268,162.881,0.0511077,753.163,6.00414,0.0578883,48.2807,0.488653,1,38.8107,0.475464,5.03922,0.0352657,
106,CT,ap,0.782752,2.26405,0.0416883,159.254,0.0394042,127.997,0.0550776,332.973,3.06667,0.0642266,28.1124,0.582044,1,44.005,0.392681,4.57117,0.0454543,
106,CT,pvp,0.81968,1.78569,0.0467782,160.912,0.0441075,137.322,0.05894,261.518,3.51002,0.0601796,36.4761,0.652553,1,48.229,0.202079,4.68429,0.0432603,
107,CT,ap,0.798611,1.98072,0.031481,228.318,0.0281887,186.065,0.0460868,436.293,4.29332,0.0522272,49.6094,0.60304,1,46.5204,0.282862,4.98527,0.0358931,
107,CT,pvp,0.702186,2.91759,0.0399082,242.691,0.0361693,158.027,0.0600745,730.709,3.77038,0.0519507,36.9614,0.482453,1,57.9986,0.596374,4.97747,0.0360295,
108,CT,ap,0.622775,3.37009,0.0116402,342.88,0.00779667,209.523,0.0344466,1178.45,42.817,0.0552253,308.918,0.40419,1,31.8373,0.652705,5.75908,0.0226495,
108,CT,pvp,0.641991,3.23818,0.0125387,309.993,0.00969722,193.082,0.029397,1043.81,41.7616,0.0550661,305.225,0.417972,1,31.4845,0.62744,5.7073,0.0236739,
109,CT,ap,0.692339,2.79714,0.0288032,294.783,0.027262,186.215,0.0367788,931.644,6.10758,0.0602556,47.8776,0.479956,1,48.1411,0.501781,5.08913,0.0343398,
109,CT,pvp,0.670406,3.42312,0.0303746,233.215,0.0252625,145.627,0.055225,895.516,6.48421,0.0643816,41.1268,0.446294,1,39.6568,0.742178,5.13041,0.0326804,
110,CT,ap,0.727606,2.48688,0.0238199,298.624,0.0220126,207.599,0.0325238,820.859,5.00287,0.0570061,44.9364,0.509742,1,47.7744,0.426273,5.07412,0.0352397,
110,CT,pvp,0.720464,2.67409,0.0322747,295.539,0.030583,201.434,0.0410672,910.954,4.60475,0.0536216,42.1077,0.497728,1,53.5423,0.519612,5.07741,0.0335143,
111,CT,ap,0.768857,2.18291,0.0345091,253.825,0.0332561,181.848,0.0407309,607.168,5.13178,0.0541585,50.003,0.576841,1,51.3426,0.325661,5.00636,0.0365937,
111,CT,pvp,0.622377,3.62159,0.02147,234.493,0.0188827,139.066,0.0366142,917.503,7.03076,0.0585292,47.0597,0.404215,1,36.129,0.732658,5.37119,0.0273953,
